No.,Name,Author,Category,Note
1,Campfire Dreams,Adrian Talens,Relaxing,Title theme
2,A New Day,DDLCPurist,Upbeat,Morning start
3,Rainclouds and Sunshine,DDLCPurist,Relaxing,Character theme Miku #1
4,Thinking of Excuses,DDLCPurist,Upbeat,Character theme Miku #2
5,Concord,KatawaShoujo,Relaxing,Character theme Emma #1
6,amber,DDLCPurist,Heavy,Character theme Emma #2
7,Something Real,DDLCPurist,Upbeat,Character theme Hana #1
8,rainclouds,DDLCPurist,Heavy,Character theme Miku #3
9,Moment of Decision,KatawaShoujo,Heavy,Character theme Hana #2
10,Lullaby of Open Eyes,KatawaShoujo,Romantic,
11,The Student Council,KatawaShoujo,Relaxing,Beautiful Scenery
12,Raindrops and Puddles,KatawaShoujo,Relaxing,
13,Stride,KatawaShoujo,Upbeat,
14,Afternoon,KatawaShoujo,Relaxing,Spending time with someone
15,Bunkasai!,DDLCPurist,Upbeat,Start of fun events
16,The Early Bird,DDLCPurist,Upbeat,
17,Thoughts and Crosses,DDLCPurist,Relaxing,After the fun has ended
18,Next To You,DDLCPurist,Relaxing,
19,Dusk,DDLCPurist,Heavy,When something goes wrong
20,After All,DDLCPurist,Relaxing,Fixed a problem
21,Letting Go,DDLCPurist,Sad,Bad Ending
22,All Good Things,DDLCPurist,Upbeat,Credits
23,Ease,KatawaShoujo,Relaxing,Casual Happy day
24,Daylight,KatawaShoujo,Relaxing,Casual Happy day
25,Friendship,KatawaShoujo,Romantic,
